n_estimators,max_depth,learning_rate,subsample,colsample_bytree,max_bin,early_stopping_rounds,progress_interval,nRMSE(%),nMAE(%),R2,RMSE_scaled,MAE_scaled,stage,target_count
200,4,0.03,0.8,0.8,256,30,16,25.777335070474628,20.052371492310797,0.3335643088403004,0.2577733507047463,0.2005237149231079,full,96
300,4,0.03,0.8,0.8,256,30,16,25.777335070474628,20.052371492310797,0.3335643088403004,0.2577733507047463,0.2005237149231079,full,96
200,4,0.05,0.8,0.8,256,30,16,25.78785178583491,20.064834853120068,0.3330204090020133,0.2578785178583491,0.2006483485312006,full,96
300,4,0.05,0.8,0.8,256,30,16,25.78785178583491,20.064834853120068,0.3330204090020133,0.2578785178583491,0.2006483485312006,full,96
