run_time,model,memory_length,horizon,n_train,n_val,n_test,n_features,feature_pca_dim,quick,device,nRMSE(%),nMAE(%),R2,RMSE_scaled,MAE_scaled,R2(%),pca_setting
2026-06-04 21:16:29,LSTM,96,96,3500,500,1000,33,33,False,cuda:0,10.002780984218736,5.387775817092618,0.8918632180276145,0.1000278098421873,0.0538777581709261,89.18632180276146,PCA-33
2026-06-04 21:30:57,LSTM,96,96,3500,500,1000,49,49,False,cuda:0,10.137179806426769,5.72028023698261,0.8889378129879064,0.1013717980642676,0.0572028023698261,88.89378129879064,PCA-49
2026-06-04 21:16:57,LSTM,192,96,3500,500,1000,33,33,False,cuda:0,9.822194722602145,5.426834395291873,0.8958942040890139,0.0982219472260214,0.0542683439529187,89.58942040890139,PCA-33
2026-06-04 21:31:25,LSTM,192,96,3500,500,1000,49,49,False,cuda:0,9.932461176277052,5.704079449601064,0.8935436475282477,0.0993246117627705,0.0570407944960106,89.35436475282476,PCA-49
2026-06-04 21:17:19,RandomForest,96,96,3500,500,1000,33,33,False,cpu,9.850754237358732,4.828214250605096,0.8951252617272148,0.0985075423735873,0.0482821425060509,89.51252617272148,PCA-33
2026-06-04 21:21:44,RandomForest,96,96,3500,500,1000,49,49,False,cpu,9.819484278230576,4.7190689466349145,0.8957900278226648,0.0981948427823057,0.0471906894663491,89.57900278226649,PCA-49
2026-06-04 21:19:48,RandomForest,192,96,3500,500,1000,33,33,False,cpu,9.701269049586813,4.866764762191703,0.8984418156644624,0.0970126904958681,0.048667647621917,89.84418156644624,PCA-33
2026-06-04 21:25:04,RandomForest,192,96,3500,500,1000,49,49,False,cpu,9.727219691776217,4.78340854258905,0.897897757967125,0.0972721969177621,0.0478340854258905,89.7897757967125,PCA-49
2026-06-04 21:16:34,Transformer,96,96,3500,500,1000,33,33,False,cuda:1,9.81998900295854,5.248412105380003,0.895779314693517,0.0981998900295854,0.0524841210538,89.5779314693517,PCA-33
2026-06-04 21:30:14,Transformer,96,96,3500,500,1000,49,49,False,cuda:1,9.818278425750208,5.196125653816637,0.8958156206408016,0.098182784257502,0.0519612565381663,89.58156206408016,PCA-49
2026-06-04 21:17:04,Transformer,192,96,3500,500,1000,33,33,False,cuda:1,10.063672475244722,5.665653520510143,0.8907124178947559,0.1006367247524472,0.0566565352051014,89.07124178947558,PCA-33
2026-06-04 21:30:49,Transformer,192,96,3500,500,1000,49,49,False,cuda:1,9.8516067728256,5.367575579333845,0.8952697918407028,0.098516067728256,0.0536757557933384,89.52697918407027,PCA-49
2026-06-04 21:21:30,XGBoost,96,96,3500,500,1000,33,33,False,cuda:0,10.13139999896872,5.2816897773841935,0.889064423163769,0.1013139999896872,0.0528168977738419,88.9064423163769,PCA-33
2026-06-04 21:29:43,XGBoost,96,96,3500,500,1000,49,49,False,cuda:1,10.01125474655835,5.075960661473704,0.8916799262969863,0.1001125474655835,0.050759606614737,89.16799262969863,PCA-49
2026-06-04 21:24:53,XGBoost,192,96,3500,500,1000,33,33,False,cuda:1,10.278491627333324,5.411380503320345,0.8859969153777943,0.1027849162733332,0.0541138050332034,88.59969153777944,PCA-33
2026-06-04 21:30:30,XGBoost,192,96,3500,500,1000,49,49,False,cuda:0,10.1174392946556,5.22251029231962,0.8895415247493509,0.1011743929465559,0.0522251029231961,88.95415247493509,PCA-49
