model,memory_length,nRMSE(%)_baseline,nMAE(%)_baseline,R2_baseline,feature_pca_dim,nRMSE(%)_pca_best,nMAE(%)_pca_best,R2_pca_best,delta_nRMSE,delta_R2
RandomForest,96,9.763609538096402,4.488722986828936,0.8971130160921759,49,9.819484278230576,4.7190689466349145,0.8957900278226648,0.055874740134173706,-0.0013229882695110495
RandomForest,192,9.691181029541363,4.479480410234166,0.8985769469606417,33,9.701269049586813,4.866764762191703,0.8984418156644624,0.010088020045449397,-0.00013513129617936936
XGBoost,96,9.202381855982704,4.200385204617796,0.9084765415523808,49,10.01125474655835,5.075960661473704,0.8916799262969863,0.8088728905756462,-0.016796615255394443
XGBoost,192,9.143555574506657,4.204620088179135,0.909783069409996,49,10.1174392946556,5.22251029231962,0.8895415247493509,0.9738837201489439,-0.020241544660645094
LSTM,96,10.18821014349433,5.64510272486133,0.8878168294235865,33,10.002780984218736,5.387775817092618,0.8918632180276145,-0.18542915927559456,0.004046388604027951
LSTM,192,10.5637647367887,5.549926453527202,0.8795809295069321,33,9.822194722602145,5.426834395291873,0.8958942040890139,-0.7415700141865553,0.01631327458208176
Transformer,96,9.832324197317623,5.012552646224193,0.8955173205427744,49,9.818278425750208,5.196125653816637,0.8958156206408016,-0.0140457715674156,0.00029830009802711555
Transformer,192,9.921795693195405,5.521183159081547,0.8937721505759695,49,9.8516067728256,5.367575579333845,0.8952697918407028,-0.07018892036980517,0.0014976412647332848
