指标,数值
原始记录数,590753
15 分钟重采样后记录数,199674
重采样前缺失值总数,35542
重采样后缺失值总数,0
负功率样本数（处理前）,762
负功率样本数（处理后）,0
起始时间,2016-07-03 00:00:00
结束时间,2022-03-13 22:15:00
