model,memory_length,n_features,nRMSE(%),nMAE(%),R2,n_train,n_val,n_test
RandomForest,96,33,9.558997123410158,4.416201468948613,,5600,800,1600
RandomForest,96,48,9.834994561960166,4.567491042588194,0.8956038384284634,2100,300,600
RandomForest,96,96,9.763609538096402,4.488722986828936,0.8971130160921759,4200,600,1200
